x	y	label	meta
-11.359222	9.333712	0	e1awpA1
-11.383412	9.281657	0	e1awpB1
-34.384842	-22.115025	1	e1bcpA1
2.926343	-30.40446	1	e1bcpB1
-23.79454	-10.754825	4	e1bcpB2
4.6461487	9.210099	0	e1bcpC1
-23.934162	-8.847944	4	e1bcpC2
7.107	15.511789	0	e1bcpD1
-16.059004	25.694077	7	e1bcpE1
5.935698	5.0744224	0	e1bcpF1
-34.384846	-22.115255	1	e1bcpG1
2.9250352	-30.405663	1	e1bcpH1
-23.710255	-10.73095	4	e1bcpH2
4.6486764	9.221647	0	e1bcpI1
-23.933332	-8.853137	4	e1bcpI2
7.1237473	15.480308	0	e1bcpJ1
-16.045994	25.688461	7	e1bcpK1
5.935104	5.074288	0	e1bcpL1
-22.354841	-2.9755387	4	e1bfnA1
1.8904136	-14.644987	0	e1bqnA1
-42.542263	-10.537068	1	e1bqnA2
-26.341457	7.4227757	4	e1bqnA3
-14.866737	9.140668	4	e1bqnA4
18.693796	6.6724977	6	e1bqnB1
-37.144424	-11.958453	1	e1bqnB2
-38.97999	9.806485	4	e1bqnB3
20.585571	-16.254324	5	e1btyA1
-12.247324	1.5669708	0	nan
0.80330014	-15.920263	0	e1ct5A1
-5.761946	18.706093	4	e1ctxA1
-30.594538	-18.181694	1	e1dhjA1
-30.624695	-18.187515	1	e1dhjB1
-10.9359455	18.289526	4	e1dktA2
-7.1969614	13.0662775	4	e1dktB2
-14.837966	-19.996252	7	e1dp0A1
37.226944	-22.29532	2	e1dp0A2
41.407005	0.085348845	2	e1dp0A3
-28.789474	-26.690264	0	e1dp0A4
-34.4754	-7.516863	1	e1dp0A5
-14.6247225	-20.562878	7	e1dp0B1
37.75894	-22.085648	2	e1dp0B2
41.806747	-0.5131141	2	e1dp0B3
-29.054428	-26.003565	0	e1dp0B4
-35.037388	-7.1299453	1	e1dp0B5
-13.930334	-19.986437	7	e1dp0C1
38.17227	-22.18407	2	e1dp0C2
41.114964	-1.7593429	2	e1dp0C3
-29.864477	-26.165443	1	e1dp0C4
-33.87849	-7.042131	1	e1dp0C5
-14.062083	-19.513	7	e1dp0D1
37.603024	-21.354895	2	e1dp0D2
40.78231	-1.2923898	2	e1dp0D3
-29.407179	-26.633635	0	e1dp0D4
-34.402023	-7.7045426	1	e1dp0D5
-35.286835	26.346899	1	e1ff1A1
24.894865	20.230669	6	nan
6.646922	11.995105	0	e1fpkA1
-12.701391	-4.332683	5	e1fpkA2
6.9022064	11.911208	0	e1fpkB1
-12.6298895	-4.334369	5	e1fpkB2
14.876799	-0.3940552	5	e1g1wA1
22.085482	22.700886	6	nan
17.93732	-14.109792	5	e1j0jA1
15.256309	-20.903648	5	e1j0jA2
-21.173897	-6.067832	4	e1j0jA3
18.010605	-14.050637	5	e1j0jB1
15.831733	-19.887012	5	e1j0jB2
-21.164143	-5.711443	4	e1j0jB3
17.306618	-3.1286423	5	e1j5sA1
17.817768	-3.0417786	5	e1j5sB1
17.797836	-3.2853594	5	e1j5sC1
23.125607	21.043898	6	e1joyA1
23.301523	21.222055	6	e1joyB1
-2.9961755	-6.690206	0	e1jpiA1
-18.881264	0.86699784	4	e1jtfA1
-15.469597	4.144574	4	e1jwtA1
21.707603	1.4501721	6	e1ka0A1
-7.6518016	-28.510199	7	e1ka0A2
-3.8544285	15.729899	5	e1kdfA1
-21.00166	-10.896281	4	nan
8.748436	-16.57473	5	e1leeA3
1.5889289	6.282044	0	nan
-22.93329	7.108134	4	e1lrtA1
-23.228077	7.6555634	4	e1lrtB1
